848 854
62 102 801
537 261 -690
553 801 721
7 841 -355
621 847 407
727 171 -392
762 89 -918
268 119 -952
391 780 426
375 454 571
669 705 -444
736 122 575
174 557 996
732 232 283
292 730 66
112 464 122
554 680 105
418 368 607
634 48 -181
647 189 -630
168 35 883
595 355 -80
49 334 -372
277 724 406
325 378 795
741 158 257
449 25 -784
833 751 -852
834 659 257
235 744 165
92 70 741
722 516 -913
54 159 604
20 229 635
339 494 935
557 93 118
823 99 -765
372 814 181
336 693 -186
593 565 620
137 231 693
690 835 -255
577 590 176
647 163 -208
466 92 -328
163 450 -52
684 733 -861
88 244 -951
302 581 -743
742 617 502
22 804 -851
489 689 -601
124 715 882
278 514 -70
772 21 579
228 247 -589
251 468 547
133 718 334
89 509 504
617 236 752
175 525 286
542 533 236
414 542 -589
195 362 135
131 627 227
15 511 384
548 796 471
729 247 -812
373 598 -269
124 693 -985
512 62 497
639 607 594
106 230 710
33 548 -661
330 554 -857
777 677 -420
804 256 60
643 721 825
336 84 -897
593 172 -780
544 546 784
562 557 -222
705 281 -579
789 42 -451
825 541 -715
602 25 613
573 5 -645
427 616 -379
676 587 -161
597 16 -850
827 517 -648
358 513 188
306 465 -358
285 744 77
833 42 -177
15 584 -804
206 484 -318
741 76 -490
19 738 -991
620 175 803
283 205 -197
223 309 91
351 754 445
158 54 -968
801 358 325
699 646 267
56 774 473
138 114 -997
774 94 261
457 282 273
682 688 363
436 390 138
624 73 38
586 768 337
496 4 -578
185 145 163
58 91 542
285 378 -748
125 596 685
417 71 526
435 568 196
692 278 743
820 393 74
149 25 -572
520 267 -497
101 71 -212
60 49 98
535 706 706
213 677 -628
775 738 666
505 294 -847
621 743 965
122 551 46
92 800 -63
519 656 -861
209 595 563
529 465 41
82 117 -813
760 274 950
808 415 -819
155 514 317
448 523 -547
740 270 207
594 148 548
236 277 -141
536 842 192
461 267 -892
616 716 702
187 488 -452
446 397 -498
331 663 -794
50 725 -582
128 547 -979
461 592 -613
209 819 -100
525 302 331
559 373 -593
243 29 -389
359 552 -357
668 149 -394
839 250 -22
678 345 -450
169 40 368
188 553 -571
194 405 98
651 515 438
676 211 832
589 17 -176
415 723 46
680 368 125
202 254 -930
661 328 -994
282 847 -961
660 843 -197
370 235 328
50 55 -199
663 117 -53
277 51 153
181 150 497
838 76 122
486 96 -316
689 300 509
791 392 -762
773 236 611
725 708 370
528 21 -608
395 838 -962
808 3 713
314 144 596
143 461 37
612 836 -65
669 263 384
303 175 -616
504 681 663
127 416 898
520 551 -174
559 644 859
669 677 -672
554 676 366
378 737 392
453 674 -280
107 834 251
514 151 293
663 262 748
499 547 437
197 477 -276
515 237 135
118 262 108
583 627 305
378 592 -647
457 708 -681
150 365 -996
89 685 -804
756 597 699
344 43 -505
682 323 -177
197 195 634
620 451 -727
270 133 -408
686 770 -989
513 112 176
817 815 -912
261 692 310
42 107 -585
723 721 -472
438 52 -829
87 323 357
616 72 -856
239 421 -887
649 794 -219
635 591 -831
59 618 775
505 766 -608
178 222 -299
39 70 -532
260 166 -34
427 831 -463
437 456 -911
705 529 56
85 525 -120
167 706 932
595 354 -438
330 190 -744
31 322 -133
423 191 243
15 253 -352
713 700 -352
820 31 -13
62 279 929
589 650 -425
341 398 334
173 384 469
486 313 576
472 540 -254
477 177 -454
67 135 171
835 421 518
144 798 294
182 639 63
833 491 -490
618 362 -427
626 844 -19
427 535 17
314 541 841
603 49 591
448 427 -106
617 235 418
40 26 -671
46 111 801
197 710 436
828 702 932
31 761 -359
336 268 313
246 112 -324
752 285 -712
548 750 -208
697 241 432
513 284 878
314 491 209
355 497 102
322 558 -58
356 824 -740
211 832 -322
144 684 -378
56 199 -356
296 616 -132
365 806 794
54 743 233
597 208 800
130 770 36
525 117 -209
658 769 -982
622 7 -314
84 407 299
374 716 -139
724 675 -904
744 700 -898
