19
981 1802
621 611 411
250 763 257
848 629 120
333 477 432
685 463 710
815 629 485
129 38 960
349 648 348
578 918 230
745 707 971
946 526 297
432 129 172
954 616 225
437 286 868
832 515 875
779 77 429
243 110 447
586 394 211
930 916 623
651 333 759
958 623 455
49 495 698
695 244 783
757 729 110
551 757 634
473 873 706
24 429 668
535 322 468
900 947 78
548 109 206
452 522 911
362 875 789
114 248 618
147 324 546
798 147 703
616 955 694
549 315 962
774 492 173
359 978 627
205 307 757
769 260 408
824 274 760
904 257 629
847 487 811
554 890 63
315 203 546
484 291 844
215 160 516
309 58 551
721 904 468
308 465 790
222 160 619
963 208 423
97 569 370
534 817 306
297 970 348
479 329 411
415 667 808
620 343 771
924 476 800
934 132 68
818 144 888
645 968 207
969 376 578
517 932 425
132 276 424
463 542 508
108 614 989
620 737 832
775 66 729
923 183 555
979 6 829
514 274 149
361 743 811
744 606 481
203 733 441
645 814 905
435 960 635
254 652 19
536 852 118
279 869 91
872 416 805
432 43 138
810 825 325
973 151 279
938 37 263
561 345 570
577 3 529
977 944 945
281 420 913
915 458 374
29 487 552
514 393 183
415 616 881
563 402 471
181 10 115
311 313 342
605 438 19
99 739 403
847 443 881
298 428 465
174 812 658
734 819 644
720 203 193
118 816 224
261 728 894
463 740 767
316 978 709
3 379 125
512 116 432
874 90 285
444 359 793
538 94 253
578 475 306
130 929 755
805 455 17
682 583 797
655 313 699
392 85 307
776 568 27
264 796 708
499 579 184
949 34 629
336 97 688
494 417 345
696 211 160
566 755 306
63 572 905
854 606 910
641 492 348
681 187 458
87 109 36
268 606 819
929 600 280
375 908 929
208 808 571
193 654 111
217 19 511
613 224 158
651 417 264
373 90 632
563 410 136
4 104 18
627 520 191
690 602 685
748 597 558
981 552 502
431 32 719
794 493 403
304 299 849
573 579 718
96 692 530
467 492 813
942 469 816
343 732 580
530 848 957
640 629 934
497 498 339
531 951 615
584 633 294
304 235 631
140 704 215
895 331 940
104 955 75
733 451 292
286 172 959
621 23 766
532 700 329
277 488 635
393 622 624
876 214 417
116 159 172
288 958 17
339 701 882
596 690 347
573 724 540
349 714 277
270 100 959
459 166 129
710 286 373
183 338 958
649 758 257
603 801 379
727 955 456
788 848 561
978 723 587
439 761 1
820 496 938
390 96 858
976 686 17
67 265 990
745 109 856
338 689 978
323 33 485
265 258 745
571 893 163
412 513 971
61 882 240
776 705 861
638 360 674
357 17 562
115 96 764
721 530 880
884 125 23
530 753 279
476 574 217
949 952 325
895 732 986
222 118 234
61 317 895
199 401 279
634 463 905
540 267 685
370 753 841
8 503 724
661 545 210
877 444 652
32 157 487
499 75 675
301 916 933
799 449 110
927 210 324
277 30 294
872 458 559
11 755 18
826 657 95
801 229 419
442 392 510
329 517 319
201 439 840
960 818 835
580 350 673
807 59 154
45 235 403
436 856 468
134 551 324
186 445 775
662 402 277
600 104 224
161 194 897
443 371 110
697 134 664
255 146 538
527 946 313
67 199 705
429 595 640
69 644 129
59 981 390
938 973 426
305 117 10
255 442 269
514 374 319
623 382 140
622 651 357
246 538 307
286 652 398
82 78 517
16 615 671
360 673 4
732 786 351
608 794 470
291 691 543
184 879 468
249 500 94
92 839 885
303 614 422
71 430 801
2 976 722
295 555 190
594 182 5
616 342 41
953 890 675
249 661 295
869 45 686
48 900 945
117 159 815
23 49 342
168 492 194
293 419 995
240 833 738
711 761 380
205 389 66
126 947 787
740 868 59
595 623 842
553 315 217
467 90 759
325 813 157
149 418 319
49 239 117
149 376 590
84 725 338
207 374 43
578 328 539
286 910 88
462 229 124
438 703 322
342 477 257
482 345 339
419 170 98
122 569 113
153 880 84
407 609 566
14 526 937
964 575 461
675 908 501
808 422 409
473 83 684
693 202 125
399 639 974
136 12 85
357 425 114
317 290 369
602 143 162
693 720 949
58 249 770
890 239 568
60 388 850
8 181 254
754 854 418
761 671 972
132 952 334
196 669 564
553 440 971
410 368 602
726 389 403
601 650 637
761 828 161
405 927 285
97 894 123
507 608 238
598 815 911
513 375 316
565 782 626
697 76 6
831 529 796
338 168 508
407 934 618
127 550 161
344 491 237
169 42 404
960 437 564
748 188 694
266 811 988
263 914 107
619 755 113
126 188 2
812 404 833
424 236 655
621 735 321
490 63 183
24 264 525
673 117 507
96 171 118
585 701 847
637 462 944
758 871 402
443 574 361
487 182 871
25 334 919
180 958 345
301 417 568
125 507 213
581 937 512
711 309 32
397 21 10
473 171 394
88 328 226
651 255 663
80 6 285
9 437 143
531 514 301
597 392 773
363 442 827
861 273 58
114 866 78
805 170 902
448 327 543
537 499 660
477 712 944
194 350 514
531 292 974
494 539 485
794 481 534
649 807 816
114 210 57
446 541 374
778 247 839
683 970 44
949 503 441
666 132 84
345 639 210
498 357 308
351 184 447
539 222 558
235 829 291
796 422 856
934 677 495
341 409 16
114 664 769
756 808 220
54 775 194
604 812 396
405 690 260
769 413 849
646 140 308
493 511 399
543 413 299
516 493 649
267 281 434
949 388 761
391 961 180
742 81 812
48 704 355
135 960 190
937 675 607
694 375 265
125 757 880
263 149 720
120 871 666
755 915 880
501 216 131
706 407 737
659 144 64
402 787 491
785 419 831
402 899 259
712 974 500
350 412 209
10 431 896
699 234 895
408 878 57
271 162 600
336 331 264
797 837 32
473 136 217
152 828 152
6 850 602
383 761 914
399 572 655
910 372 470
734 414 410
616 922 258
380 783 564
635 123 74
905 929 899
754 143 345
100 830 329
544 407 496
65 657 5
267 582 781
319 55 512
34 688 393
232 350 335
9 328 637
230 67 397
553 744 153
924 735 941
563 308 130
914 923 41
957 891 900
936 457 893
207 433 372
908 377 537
729 181 151
686 896 916
433 598 488
242 504 611
612 611 296
569 474 909
562 263 980
158 312 54
3 614 411
269 294 139
137 275 252
81 280 746
486 501 74
772 167 329
232 828 219
196 559 334
47 616 395
499 423 699
937 215 604
746 242 472
