826 2650
668 426 780
790 77 294
439 696 195
730 445 735
533 510 657
363 742 810
161 227 599
191 569 117
312 412 984
479 432 681
705 248 663
664 749 862
624 380 372
585 545 692
164 345 845
480 534 767
483 457 775
715 233 913
738 274 467
597 730 209
462 17 329
363 264 145
69 686 492
529 757 180
36 99 642
654 720 381
483 265 934
639 414 316
246 549 875
773 825 620
77 769 475
258 544 313
309 614 393
708 4 794
293 39 821
505 424 322
473 328 501
396 552 837
658 452 340
262 719 176
228 823 13
773 95 776
121 812 846
693 452 768
142 791 764
539 445 652
405 96 459
382 656 837
805 646 962
371 357 866
302 432 233
808 696 961
94 747 680
417 710 281
434 103 180
526 652 892
27 358 678
337 359 649
671 713 606
87 724 831
545 197 308
373 819 948
602 657 8
304 500 282
129 547 323
328 457 835
720 265 226
324 757 201
600 789 396
466 34 550
269 677 402
195 62 589
88 517 524
628 265 865
151 266 509
115 559 442
307 559 647
6 580 475
598 376 933
384 419 801
147 572 187
611 795 696
751 787 152
810 105 716
817 570 681
754 163 716
298 423 937
802 749 466
77 11 340
588 399 936
444 263 866
369 618 117
199 642 991
713 344 972
282 567 676
313 388 301
727 234 959
524 35 302
809 353 911
652 117 313
132 489 135
22 824 643
176 377 325
802 114 145
302 679 48
771 740 665
721 556 166
462 333 329
61 191 75
218 407 47
800 541 537
476 42 417
349 691 713
447 495 855
715 655 560
703 652 634
186 629 491
467 75 494
89 247 802
637 398 137
91 301 865
317 374 185
529 652 142
563 667 822
436 474 777
295 647 969
242 304 595
299 243 764
388 45 347
635 148 806
611 666 891
622 471 770
722 510 978
735 176 55
711 176 109
118 455 948
478 821 896
529 251 866
5 27 672
155 505 205
575 634 375
504 574 922
448 86 360
522 329 289
631 813 818
825 59 460
474 568 957
124 584 319
462 44 907
253 202 848
458 529 652
631 360 977
208 310 215
51 110 38
408 64 711
318 307 228
115 813 217
557 147 782
104 672 284
291 558 159
584 184 947
273 436 108
257 99 894
296 83 997
214 169 412
443 707 394
756 800 697
779 788 925
128 329 735
619 293 205
418 8 685
618 593 642
132 563 20
702 190 450
324 524 690
439 433 878
203 771 239
410 540 427
55 206 428
611 426 838
194 682 357
95 538 453
355 258 843
29 249 306
25 28 246
347 157 940
810 273 336
655 305 923
580 285 356
266 439 650
126 516 831
6 199 986
704 157 639
193 758 585
188 1 655
278 814 57
670 298 506
729 440 30
699 395 943
356 689 36
643 815 996
635 534 910
157 498 91
325 149 52
376 40 491
624 528 600
287 721 693
303 738 579
491 229 689
482 545 421
447 468 578
35 594 699
344 460 251
534 500 250
227 490 505
433 563 81
633 497 905
60 396 547
435 577 886
92 770 715
253 482 687
50 222 998
714 361 330
338 539 390
371 594 43
170 489 217
731 104 831
751 694 681
681 468 465
695 505 221
36 477 578
374 617 932
561 9 357
226 265 196
306 731 803
543 192 673
424 623 428
541 592 770
114 665 896
484 474 217
503 307 237
392 677 193
760 290 354
159 648 244
319 694 212
219 14 322
595 27 48
677 320 138
558 665 272
400 438 770
450 778 414
432 247 940
175 584 188
42 769 17
128 54 789
823 596 999
722 653 978
438 180 435
10 705 548
32 689 274
800 34 198
129 13 643
363 287 789
212 506 616
653 673 753
672 677 93
229 273 429
825 171 846
4 540 816
551 521 406
647 69 907
794 268 131
596 307 247
738 138 935
550 368 243
748 659 35
512 511 914
87 592 380
432 299 55
561 192 194
277 438 787
229 762 427
325 724 704
276 23 556
33 490 790
151 344 889
463 365 444
327 396 249
704 695 606
144 508 924
714 55 206
345 776 313
93 641 373
606 138 440
423 87 591
321 427 861
269 553 492
405 458 124
726 259 943
363 598 340
224 335 756
95 659 228
823 366 642
484 715 508
7 818 798
609 513 947
498 345 552
654 257 889
93 237 616
394 794 235
805 166 990
167 53 34
416 608 26
552 547 326
131 275 778
219 62 343
250 411 422
536 68 853
628 267 726
75 570 678
541 24 67
422 451 855
687 607 987
159 325 607
266 110 400
604 61 110
438 720 762
39 637 320
115 181 506
609 652 900
41 545 212
37 251 969
653 185 693
433 411 248
406 798 255
100 112 320
572 61 893
474 185 958
654 24 78
220 730 400
785 676 45
788 174 902
161 700 66
804 117 971
427 112 362
327 181 190
343 582 282
67 713 116
132 356 103
82 307 673
20 73 407
318 788 439
27 273 855
484 436 776
215 302 780
821 678 924
331 348 782
217 461 198
352 413 606
616 91 922
713 456 157
72 186 769
468 20 58
144 640 751
774 8 206
440 348 137
295 284 928
681 454 414
224 767 599
298 411 472
335 708 459
163 378 442
