17
985 960
802 787 565
940 692 -656
773 561 992
458 406 60
392 111 -648
900 365 -8
497 913 -614
725 978 339
740 982 596
157 263 427
705 875 325
309 16 -345
846 728 -922
48 116 702
813 139 -805
357 818 685
776 839 -330
111 343 607
164 271 -321
254 367 480
793 214 487
790 722 -195
478 184 872
582 884 21
786 90 -923
979 844 -953
525 272 951
624 588 -403
655 347 734
859 338 512
209 332 -738
120 206 178
99 711 -626
757 101 -440
380 187 57
571 338 -749
621 205 465
589 145 -177
687 54 418
199 475 692
562 698 393
305 192 940
220 465 217
535 709 197
377 765 -931
535 219 -702
375 940 101
128 777 -964
639 950 -294
879 584 -790
773 822 925
637 248 610
531 77 617
170 744 -756
858 121 537
286 424 957
577 520 -530
570 93 -955
191 89 -730
888 974 -104
44 906 679
166 289 -939
221 564 -97
308 43 -206
620 18 -642
309 747 -127
783 232 835
816 707 -356
721 767 -937
283 255 158
480 198 759
286 202 -889
354 393 -959
604 612 -565
218 709 789
229 482 -529
338 166 722
603 72 -717
5 343 190
257 619 679
168 498 654
605 452 12
744 774 -824
882 940 -507
978 977 515
494 516 783
306 616 614
394 665 588
103 234 -966
913 66 -645
433 48 27
497 178 759
598 344 69
289 810 274
963 638 -676
799 929 -988
407 921 -707
31 206 -330
288 805 479
690 91 -274
620 426 -212
225 752 -761
935 685 -339
251 326 87
744 186 121
339 430 489
679 726 -76
11 36 742
149 238 774
614 327 -271
166 273 -658
816 375 126
313 392 751
608 908 752
861 556 500
735 652 -960
382 292 -634
191 54 -252
794 281 309
245 63 501
36 96 217
212 483 790
26 316 -857
551 794 -301
466 450 -294
266 905 36
889 472 299
553 205 486
891 732 244
165 594 811
266 636 332
76 369 746
894 630 190
575 726 -522
562 225 46
935 692 383
563 467 -785
852 527 -802
655 450 -393
437 967 372
695 203 -866
367 272 -890
132 168 -270
321 901 936
5 896 -406
795 144 835
563 429 -749
448 881 -777
161 528 764
752 900 -273
405 459 539
103 325 -432
184 366 577
709 572 -887
20 764 486
282 950 519
884 371 -384
948 593 -413
208 695 -820
257 165 209
476 386 -749
618 577 238
60 882 -801
271 702 -102
89 925 231
977 747 12
226 803 637
353 462 -308
717 696 793
952 526 133
591 156 362
233 575 162
974 829 926
378 136 -486
817 934 601
532 233 -44
299 624 -729
345 193 743
165 67 -914
429 421 -787
823 369 432
793 230 829
700 786 -883
425 678 -552
805 316 -12
470 67 708
115 274 958
424 15 726
197 581 142
531 974 477
399 118 882
464 953 -178
959 593 -410
543 399 613
433 256 260
857 955 662
650 666 115
195 950 -704
539 488 -908
904 53 70
823 705 -997
651 853 200
358 132 -601
503 188 -319
452 601 897
272 6 -519
594 609 -820
215 566 -543
88 780 110
356 515 92
791 637 -382
296 706 574
599 645 -774
37 521 -944
764 891 -698
686 679 3
370 971 778
721 553 971
90 969 816
711 237 391
136 924 -666
896 285 -762
729 586 -703
982 86 283
366 351 907
422 164 851
102 671 -521
765 3 691
335 770 864
526 216 -211
212 334 898
29 504 204
610 261 -421
984 805 972
518 736 -570
262 664 -265
157 19 -10
976 320 755
524 335 229
271 627 834
213 755 -817
816 810 -254
395 234 -767
137 260 134
411 634 390
732 839 -601
156 931 -116
584 677 -307
713 361 -578
861 151 -311
858 906 606
109 288 -330
325 663 -892
420 593 -523
82 442 792
408 891 -238
679 221 127
342 409 -361
187 722 691
543 436 234
208 227 796
70 370 780
409 808 488
1 172 31
339 132 212
902 251 858
405 497 836
258 230 -465
509 908 756
748 780 226
704 861 592
983 867 86
893 535 37
371 58 -844
802 710 578
723 520 -364
323 250 508
121 828 -890
20 598 -610
983 308 504
708 435 196
925 234 -643
565 960 982
847 692 -187
883 812 -878
692 679 -49
489 764 -438
120 374 558
183 43 -180
16 835 245
391 615 -310
43 62 812
606 480 -496
946 685 -278
356 393 479
55 454 -404
631 114 -918
597 661 -230
205 631 880
23 703 -273
622 28 72
840 746 -976
96 200 -836
297 211 421
701 452 859
804 31 -318
130 965 -825
384 303 -717
877 618 143
655 468 -633
811 188 234
588 579 -143
370 174 338
398 365 922
504 185 -966
136 231 -369
399 593 -669
447 231 118
786 750 -417
471 768 320
580 168 568
221 134 132
403 482 659
365 716 794
130 759 -121
305 342 -140
438 343 312
367 365 373
420 402 396
62 523 655
279 865 590
916 701 -892
794 316 -816
708 695 -924
70 639 857
424 446 -972
588 482 -541
185 720 -806
326 822 642
955 257 245
560 415 580
379 830 585
87 946 743
815 261 21
264 898 -852
469 682 56
974 284 -865
131 608 -800
253 223 -207
351 661 -918
355 674 126
138 678 830
327 723 869
80 261 938
463 110 -562
672 44 722
725 63 384
456 146 971
220 825 245
886 850 -886
555 164 773
356 914 -843
90 909 -311
323 361 -602
916 828 531
337 593 -942
868 847 648
911 903 -831
313 848 933
669 799 83
806 48 -107
170 530 154
497 272 602
797 265 -124
145 690 893
768 981 218
87 456 409
500 694 -760
153 877 -973
787 261 54
451 822 522
556 559 -326
52 626 -435
341 848 -238
240 874 874
560 939 -37
260 524 341
135 653 371
148 949 -833
346 157 209
636 174 -457
594 45 469
771 72 873
533 183 -363
322 11 629
132 496 939
412 358 162
235 975 -867
663 906 838
710 100 833
218 512 -487
177 904 -744
968 392 527
359 670 -481
242 967 -948
174 66 -547
910 760 862
90 907 -672
247 116 -613
313 217 -312
280 785 408
585 512 -179
849 4 371
928 929 876
242 167 -950
657 866 797
957 595 -870
955 910 -674
812 703 -769
6 748 -618
410 69 -77
232 539 -612
158 701 803
303 686 -413
274 130 748
769 734 -934
136 670 -952
592 810 531
319 289 768
393 270 490
663 27 218
319 308 -784
876 419 725
220 382 827
659 265 -448
873 89 -243
368 101 176
69 809 -834
443 461 258
939 500 -813
807 24 73
512 342 806
609 188 -287
245 790 -322
844 104 959
477 134 -767
842 627 -626
174 908 78
970 175 -372
537 482 555
624 953 -784
623 221 -144
480 947 306
85 243 -91
771 682 -137
15 640 -577
22 137 -821
522 920 237
727 289 380
713 389 912
267 252 -264
48 383 607
529 952 -545
276 269 689
769 316 -760
126 449 -546
82 220 800
925 908 -941
823 834 -107
35 189 -85
793 533 -446
802 7 653
153 402 972
59 256 572
815 527 -742
750 363 625
450 293 538
511 762 450
812 676 20
710 627 665
232 947 842
515 108 -175
235 309 265
695 253 -529
14 523 -570
794 431 557
173 164 966
567 914 437
40 503 900
270 679 -3
312 637 780
640 365 -733
374 468 -47
605 6 873
39 788 -416
252 387 -196
964 913 644
557 613 174
32 665 508
260 419 595
502 712 893
797 52 -717
222 258 897
220 641 -625
273 192 474
690 608 -663
500 5 -646
156 583 671
543 377 -441
507 936 -6
818 773 -501
216 634 -561
174 911 33
949 226 -609
825 356 116
425 407 -196
970 655 -828
46 970 564
726 290 582
703 920 547
47 835 451
128 571 390
644 488 922
179 581 121
899 141 691
807 180 375
954 714 -745
489 879 -707
916 759 125
496 350 -616
520 419 875
314 524 -530
362 663 -43
605 799 163
805 981 -453
801 196 350
449 55 -880
675 546 -426
697 35 429
197 218 -923
707 553 -137
12 715 538
406 389 786
961 139 -203
4 560 -820
706 578 685
813 55 492
84 761 -514
565 9 -694
786 469 191
385 582 349
569 87 119
10 953 85
792 171 -669
846 845 -995
62 362 -380
967 822 489
858 668 256
498 828 17
348 83 -727
896 37 646
547 658 631
493 670 -445
931 382 -552
300 947 284
117 813 416
103 913 -740
661 687 667
478 580 -122
290 544 -11
917 742 915
886 576 -419
957 894 -483
341 289 -196
67 98 245
355 485 479
457 214 263
498 789 -208
928 147 747
488 837 803
567 196 -922
628 474 -479
551 776 615
120 861 24
942 829 -820
151 98 -763
227 766 -948
414 919 637
143 170 -994
459 183 750
557 798 744
46 933 571
416 89 742
529 835 -582
284 639 -576
698 429 501
705 534 -96
29 771 88
777 561 267
70 947 201
64 845 -228
663 286 244
808 404 339
439 815 556
637 449 -748
589 943 40
673 411 686
201 760 -165
980 384 75
380 742 132
544 374 467
84 570 -40
884 116 -439
450 784 158
2 499 -550
56 793 -891
263 415 326
759 782 568
631 475 -613
944 141 156
60 588 -901
780 980 60
804 707 -108
722 147 812
430 616 103
39 957 515
298 729 -963
733 174 202
352 436 -152
383 932 297
348 319 -250
911 101 -931
582 42 -487
227 600 -618
477 620 294
254 446 378
249 705 -588
204 546 -396
80 340 732
726 328 139
46 248 474
339 604 26
278 494 759
715 913 588
497 405 591
9 788 -831
572 415 -20
879 931 -535
290 586 -85
270 57 -777
971 904 345
666 224 -603
767 275 832
632 762 709
957 611 868
38 983 967
137 39 -751
720 389 5
117 653 -754
203 839 -967
636 605 19
292 714 496
854 213 329
343 531 56
696 514 -931
632 184 -604
172 101 -290
895 923 368
52 412 563
764 378 61
466 386 -475
326 822 -866
927 63 453
889 92 -451
764 240 676
601 433 85
166 754 -804
502 818 -720
676 454 456
655 576 421
810 940 76
761 72 -519
818 53 183
637 253 -749
343 731 -564
343 551 174
711 162 960
788 246 757
733 317 -496
764 36 630
573 584 217
657 749 -544
76 509 73
308 47 -967
244 66 431
708 595 -87
713 89 -227
533 880 -995
269 156 -37
209 716 294
510 720 -428
527 553 -742
330 625 508
443 900 -35
660 229 255
519 347 698
246 48 34
771 439 -852
838 915 552
388 228 -13
695 808 855
300 847 184
292 265 -790
454 341 -397
463 932 48
599 931 619
547 211 173
22 554 702
756 590 799
692 484 -677
622 445 -437
979 772 -714
860 107 -785
90 344 253
464 305 -865
253 927 545
589 654 945
214 982 509
52 442 -867
767 470 -864
542 312 -455
651 302 625
377 107 86
370 482 -658
322 743 555
58 348 424
843 257 -319
175 268 229
677 941 130
750 497 -96
790 438 876
525 805 823
267 196 -91
820 564 302
590 649 972
240 851 343
224 890 883
471 914 64
926 445 347
595 650 -759
442 135 58
295 76 -373
269 124 921
674 589 -917
721 219 -856
578 376 -69
191 983 -668
343 518 -199
49 40 -850
816 725 -620
809 79 -434
524 391 204
88 69 198
268 151 474
651 244 -997
774 861 787
511 629 220
937 832 686
779 117 400
319 658 375
522 347 -820
91 853 -450
626 744 788
146 195 900
174 708 707
726 450 -198
882 539 -680
686 260 -484
914 79 -576
49 495 -417
741 392 157
592 272 -138
797 182 547
620 370 187
609 163 202
425 735 847
462 708 183
381 582 -351
304 92 -381
875 712 -898
241 566 -919
932 164 -909
954 401 -186
15 837 -802
458 679 -129
796 413 333
318 762 108
524 227 732
500 911 -582
225 461 418
841 686 -766
723 358 -841
206 120 42
177 674 -207
721 549 -195
580 433 609
331 87 308
272 147 -160
959 381 346
599 954 61
420 308 -3
605 965 174
171 456 -751
597 904 -154
446 912 -450
217 530 733
867 139 -524
56 669 -530
703 761 43
463 883 -417
541 396 100
177 976 -649
319 132 704
263 423 -962
538 307 928
57 397 -959
121 379 806
246 731 -482
219 753 831
73 355 802
485 363 512
592 783 420
773 513 906
499 219 -98
760 922 -776
26 554 376
903 118 -930
445 268 -128
624 949 -484
719 927 -386
161 807 -817
179 648 -9
283 159 482
956 567 703
781 367 -388
546 188 -16
509 487 927
786 866 482
337 549 685
160 159 145
589 168 354
886 661 -622
888 697 681
36 374 -503
811 745 656
806 264 569
873 385 -331
816 778 916
396 957 -388
400 862 -426
313 275 494
72 85 -21
301 150 803
348 834 -89
480 415 -271
714 828 471
37 167 707
13 956 963
209 145 -968
650 900 558
127 311 -372
577 739 227
101 233 550
850 332 -648
761 366 -864
577 580 285
658 126 254
418 609 602
25 385 -598
946 337 -20
802 906 -684
231 83 147
104 807 -281
291 32 -982
485 903 -700
151 333 -133
253 448 107
557 775 405
811 759 436
148 40 897
156 66 384
888 168 168
318 403 349
712 479 972
358 635 638
615 717 -221
373 40 -76
653 250 224
153 431 509
655 77 778
289 378 460
690 488 358
626 103 217
593 406 170
286 832 -717
740 222 -146
466 85 443
412 241 6
38 111 -219
266 23 -860
917 402 -433
916 726 -392
802 930 956
270 756 767
389 352 750
444 513 -541
450 343 478
281 233 957
498 142 -732
409 317 -508
721 393 902
787 36 -783
295 72 -552
670 591 -698
903 482 687
658 944 -187
610 757 -159
815 783 753
755 326 221
791 558 -253
707 72 -288
491 508 -7
923 479 268
883 522 -289
337 20 -76
61 497 -628
378 201 312
334 773 910
242 568 -991
135 211 -60
296 507 -259
271 126 -524
390 6 -825
334 561 -818
833 421 -780
525 850 198
910 66 967
510 406 -699
583 169 487
98 314 280
788 878 835
303 864 -748
570 137 809
316 315 690
774 85 109
423 268 -479
308 255 882
724 421 -769
725 798 -100
821 924 814
920 990
742 535 726
45 535 -624
292 785 394
334 276 -998
863 64 287
894 914 -259
591 227 -209
453 834 600
858 117 -504
654 456 7
413 272 -74
91 520 351
513 54 -22
445 802 766
609 277 -451
657 555 -432
401 97 92
651 344 83
538 784 621
27 325 -840
241 601 675
6 698 869
57 415 843
306 313 897
521 62 -519
552 638 -466
536 388 -868
894 159 154
67 126 -637
664 568 -653
454 592 416
876 169 180
412 538 272
124 387 -732
474 883 -116
123 354 961
671 304 186
202 436 -386
290 42 785
369 177 531
888 45 770
171 779 -972
607 254 -874
740 577 -185
919 883 -693
37 290 -732
236 649 343
630 647 -711
32 741 -659
715 73 -697
810 631 -737
242 434 -739
226 689 709
129 688 -397
374 444 -299
108 304 -923
386 620 -371
897 206 501
43 920 326
263 594 -892
251 484 -303
441 533 -63
92 744 697
770 747 323
54 215 905
321 212 -494
262 466 932
360 151 -629
853 556 16
639 550 -581
631 600 756
262 376 -845
105 722 -891
685 510 -868
882 244 -719
823 234 53
441 99 -725
851 721 -732
562 874 -559
892 369 69
282 423 -592
62 41 -775
706 732 811
337 692 383
619 365 485
68 489 -729
878 260 -720
892 620 287
180 807 -619
267 236 998
920 691 302
537 270 159
348 731 -489
198 295 318
700 873 948
691 178 -475
800 400 -741
862 293 309
717 754 374
379 324 -547
102 903 695
548 697 -956
708 359 887
192 453 -130
122 620 491
7 497 924
