9626 26369
269 698 -808
7670 8753 368
8106 2931 578
1341 227 86
6820 5896 -606
1686 9379 -764
6376 7503 182
1667 4608 902
8502 9179 349
5696 2853 -737
4931 439 157
2859 6900 -505
682 3383 -60
5747 2720 828
4535 2966 828
4410 2911 -140
4886 8257 -48
5999 9270 954
5201 7672 -346
4360 8792 -247
4440 9420 855
120 9149 -963
9091 5249 -535
3251 1984 -208
4218 9504 700
1801 2812 286
8253 645 311
7282 8228 -774
7912 1598 -539
5679 5200 -581
9122 695 691
4391 8800 -122
7796 7869 881
9111 8862 -937
2472 8998 137
5 8018 985
6268 93 -729
4898 9160 -688
375 1513 -753
3933 5640 520
7789 8940 -550
1398 8412 334
8974 2171 330
2750 3493 -458
8593 7916 220
4534 2753 -841
8744 4201 588
5454 1927 422
5712 6713 -390
1366 7760 -81
4326 3899 -540
6314 8419 835
5872 9519 883
6945 1594 928
4175 3083 279
7685 4183 -82
7543 9049 -132
3796 2727 32
3375 3517 2
2875 7208 -797
7978 5622 594
3899 2434 -477
1450 2313 -563
2390 6926 66
8401 3224 804
3681 5350 721
6765 4567 -783
6010 1959 -78
5642 6135 361
5258 7694 996
5702 8099 -194
167 3295 -285
1416 8383 -412
5626 6281 -574
5339 5824 584
281 8850 -870
5190 1650 -571
8465 1666 -513
8235 67 570
9514 1373 -491
7761 4351 874
6343 6625 798
2967 258 -238
4971 268 840
1579 720 245
1598 6948 -226
7585 8548 454
3688 5307 -932
6570 7570 276
7294 6789 503
5400 6529 943
1876 7020 -148
2916 6698 -349
3737 6588 370
4987 467 944
727 4609 197
887 4333 451
6282 9243 -185
6694 6220 650
6043 4367 456
8443 6398 -799
4104 306 690
6109 7914 359
6169 974 337
9484 7919 -554
5662 3508 -416
2178 9386 858
6887 2281 -68
3156 3692 517
4289 6086 -124
2959 8467 -894
4559 719 524
2884 7021 108
4414 2132 -929
1484 1255 298
8932 5675 -391
1176 5846 -32
4847 1298 844
9438 5913 -388
9606 7089 985
7383 2151 788
227 1734 706
3588 1401 -761
9551 7800 -418
2090 5529 592
9076 4775 -689
9045 9451 -833
639 1826 -125
3859 8561 341
9307 1111 -30
177 3546 -320
9300 5308 -985
7390 5651 -128
6236 8626 -333
2125 9561 928
3962 8328 -176
5528 2442 -670
8456 1398 -591
894 4754 -837
1188 848 660
3097 2967 -881
3323 7976 62
3472 5336 234
7132 899 -185
4254 771 766
4802 5895 46
6398 8691 11
7110 5947 -167
8199 2473 973
1534 4681 -970
6945 5562 285
2977 8924 196
2477 7168 785
490 1915 -424
7511 5083 311
5936 4766 141
4505 5219 374
2773 8700 -452
4075 555 211
2005 6464 -545
4159 9442 579
1756 6047 -682
8047 6869 -913
426 9525 442
3550 886 652
8214 5099 -917
9011 7530 991
7640 3441 -86
7740 6804 -415
779 6241 -358
5582 284 600
2646 1081 106
1018 2145 489
8261 3692 743
1781 5692 49
6626 7728 588
8613 1878 -696
8739 8309 209
4928 5920 -722
8921 2040 -972
1492 2024 -530
675 2823 -493
1829 6033 103
262 7773 -161
7948 6632 372
3601 7554 867
4326 9600 -460
2243 5347 692
2344 2084 591
1911 6808 -640
6411 6910 54
1681 4537 585
2460 9587 -847
7324 7346 -687
8843 594 377
1328 3841 -795
4802 2896 -87
5320 6373 159
6287 4710 -872
9180 9505 -460
7062 5508 -190
3730 4188 -317
301 4167 880
3309 8901 -628
3567 2558 749
2813 2002 -486
4538 6732 394
5121 7264 -805
9182 4822 -537
2139 2171 177
5446 1616 -532
3688 3406 -740
235 6404 154
3125 8788 560
4159 1160 -787
5886 3030 -82
2679 6222 -496
351 3673 -548
4110 6062 322
1310 7719 554
9221 8162 782
6402 3555 947
8346 2862 828
932 7093 -727
3044 3073 -134
7374 4573 -101
9096 574 903
2583 7753 930
3020 6737 640
4006 3393 754
7285 8433 -848
4544 5910 430
8157 6694 -139
3560 111 572
7358 9379 394
3380 3715 439
7381 2600 330
7940 1193 -839
9540 6592 -614
7738 7547 -622
3715 4505 475
3441 6484 80
3668 7842 70
8478 2344 -441
9098 3835 -809
2725 2050 765
3803 9355 -82
3483 2954 -326
4103 6862 52
1144 8645 -273
812 832 -437
8487 6664 -8
1603 1543 -150
7798 6333 -520
751 2906 927
1803 7213 252
8159 7799 -232
5832 3948 -86
4350 947 -456
6705 1931 -928
7982 3938 255
6348 4626 125
2314 3206 26
5793 3530 -257
7823 3392 -521
6935 2155 -413
1067 3960 -638
7574 4003 -21
8937 8593 -891
5550 8559 204
4375 6263 440
2728 842 -161
6690 4104 -303
454 7786 -947
4550 7557 -540
4624 2844 544
3 7813 923
2591 3997 426
8848 5997 286
1546 9618 -714
7280 3375 606
6691 5922 557
9386 6316 692
5964 2244 -337
439 1320 -464
6260 1767 617
5455 5766 541
2882 7391 -540
8064 5436 788
4188 622 -539
4259 8103 970
7778 6152 -948
5727 4462 -748
704 4154 152
3296 2766 580
4493 7565 -884
2288 1420 -726
2687 1365 -22
5828 5255 250
7951 8069 -814
8705 5935 184
7699 7907 723
7857 1026 -657
8385 4371 -142
9018 4216 668
680 5684 -316
80 1418 271
7065 7876 760
7658 8014 915
3463 2847 762
1298 8804 -585
5408 8852 -38
7254 2556 -691
8197 461 -147
2549 6400 -74
9315 4663 -894
7752 9463 380
4060 2928 -948
1782 4294 101
5329 149 -728
728 7320 -355
4296 1139 218
1775 8745 287
4641 5046 -606
7600 5556 -121
5932 7300 -522
6941 7600 764
2250 124 144
4333 4292 826
6811 7601 -744
3955 5162 -403
1138 4317 -617
727 2069 972
4050 3046 825
6 8128 -865
3900 7350 -133
3314 7376 759
4383 295 583
478 1318 -70
6996 3232 -673
5204 8400 45
1244 3451 384
7526 1219 789
8666 4576 737
1995 4765 536
6535 6621 387
6843 1230 -11
8026 8945 107
3786 1026 -86
5568 8454 285
648 9309 -810
8055 6211 818
1610 9286 -780
424 2995 685
7998 4336 332
462 1353 -387
4556 6309 822
6710 343 -896
3588 6166 -142
3897 3759 968
2922 679 766
9288 8725 -884
2945 5014 202
8491 5510 155
5952 3311 -733
9055 6344 928
8288 5335 -922
7343 4339 -774
1102 4042 -834
9583 8445 -940
7230 6577 -168
1073 7936 -213
1193 1714 543
2188 3162 837
9185 404 -503
9427 7836 -459
6812 1950 997
6279 862 -269
3022 4097 874
4816 2542 878
5419 8402 32
7950 6488 950
6455 7105 287
3294 5337 424
508 2717 -9
3677 217 -924
9104 3298 459
2925 6565 -39
4057 7988 -342
141 1589 58
6441 47 -515
1429 400 207
754 8737 413
4506 1695 -968
1788 1079 873
1254 5410 29
2513 5863 -647
1472 1503 -664
